,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
145,0 days 00:00:00,J5,1289,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
146,0 days 00:05:00,J5,1339,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
147,0 days 00:10:00,J5,1301,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
148,0 days 00:15:00,J5,1312,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
149,0 days 00:20:00,J5,1373,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
150,0 days 00:25:00,J5,1365,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
151,0 days 00:30:00,J5,1430,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
152,0 days 00:35:00,J5,1441,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
153,0 days 00:40:00,J5,1447,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
154,0 days 00:45:00,J5,1485,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
155,0 days 00:50:00,J5,1513,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
156,0 days 00:55:00,J5,1560,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
157,0 days 01:00:00,J5,1591,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
158,0 days 01:05:00,J5,1626,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
159,0 days 01:10:00,J5,1658,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
160,0 days 01:15:00,J5,1661,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
161,0 days 01:20:00,J5,1723,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
162,0 days 01:25:00,J5,1669,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
163,0 days 01:30:00,J5,1698,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
164,0 days 01:35:00,J5,1743,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
165,0 days 01:40:00,J5,1769,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
166,0 days 01:45:00,J5,1767,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
167,0 days 01:50:00,J5,1752,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
168,0 days 01:55:00,J5,1761,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
169,0 days 02:00:00,J5,1843,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
170,0 days 02:05:00,J5,1805,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
171,0 days 02:10:00,J5,1786,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
172,0 days 02:15:00,J5,1809,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
173,0 days 02:20:00,J5,1931,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
174,0 days 02:25:00,J5,1839,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
175,0 days 02:30:00,J5,1831,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
176,0 days 02:35:00,J5,1918,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
177,0 days 02:40:00,J5,1891,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
178,0 days 02:45:00,J5,1881,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
179,0 days 02:50:00,J5,1931,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
180,0 days 02:55:00,J5,1921,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
181,0 days 03:00:00,J5,1935,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
182,0 days 03:05:00,J5,1957,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
183,0 days 03:10:00,J5,1947,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
184,0 days 03:15:00,J5,2028,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
185,0 days 03:20:00,J5,1969,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
186,0 days 03:25:00,J5,1991,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
187,0 days 03:30:00,J5,2085,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
188,0 days 03:35:00,J5,1963,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
189,0 days 03:40:00,J5,2008,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
190,0 days 03:45:00,J5,1969,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
191,0 days 03:50:00,J5,1979,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
192,0 days 03:55:00,J5,2066,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
193,0 days 04:00:00,J5,1993,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
