,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
121,0 days 10:05:00,J3,2594,J,3,plamGFP-deGFP,Plate 1,1,Negative
122,0 days 10:10:00,J3,2601,J,3,plamGFP-deGFP,Plate 1,1,Negative
123,0 days 10:15:00,J3,2682,J,3,plamGFP-deGFP,Plate 1,1,Negative
124,0 days 10:20:00,J3,2620,J,3,plamGFP-deGFP,Plate 1,1,Negative
125,0 days 10:25:00,J3,2677,J,3,plamGFP-deGFP,Plate 1,1,Negative
126,0 days 10:30:00,J3,2698,J,3,plamGFP-deGFP,Plate 1,1,Negative
127,0 days 10:35:00,J3,2647,J,3,plamGFP-deGFP,Plate 1,1,Negative
128,0 days 10:40:00,J3,2643,J,3,plamGFP-deGFP,Plate 1,1,Negative
129,0 days 10:45:00,J3,2713,J,3,plamGFP-deGFP,Plate 1,1,Negative
130,0 days 10:50:00,J3,2732,J,3,plamGFP-deGFP,Plate 1,1,Negative
131,0 days 10:55:00,J3,2696,J,3,plamGFP-deGFP,Plate 1,1,Negative
132,0 days 11:00:00,J3,2796,J,3,plamGFP-deGFP,Plate 1,1,Negative
133,0 days 11:05:00,J3,2838,J,3,plamGFP-deGFP,Plate 1,1,Negative
134,0 days 11:10:00,J3,2740,J,3,plamGFP-deGFP,Plate 1,1,Negative
135,0 days 11:15:00,J3,2825,J,3,plamGFP-deGFP,Plate 1,1,Negative
136,0 days 11:20:00,J3,2760,J,3,plamGFP-deGFP,Plate 1,1,Negative
137,0 days 11:25:00,J3,2759,J,3,plamGFP-deGFP,Plate 1,1,Negative
138,0 days 11:30:00,J3,2808,J,3,plamGFP-deGFP,Plate 1,1,Negative
139,0 days 11:35:00,J3,2762,J,3,plamGFP-deGFP,Plate 1,1,Negative
140,0 days 11:40:00,J3,2766,J,3,plamGFP-deGFP,Plate 1,1,Negative
141,0 days 11:45:00,J3,2796,J,3,plamGFP-deGFP,Plate 1,1,Negative
142,0 days 11:50:00,J3,2766,J,3,plamGFP-deGFP,Plate 1,1,Negative
143,0 days 11:55:00,J3,2835,J,3,plamGFP-deGFP,Plate 1,1,Negative
144,0 days 12:00:00,J3,2813,J,3,plamGFP-deGFP,Plate 1,1,Negative
145,0 days 00:00:00,J5,1065,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
146,0 days 00:05:00,J5,1064,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
147,0 days 00:10:00,J5,1104,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
148,0 days 00:15:00,J5,1140,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
149,0 days 00:20:00,J5,1158,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
150,0 days 00:25:00,J5,1225,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
151,0 days 00:30:00,J5,1244,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
152,0 days 00:35:00,J5,1355,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
153,0 days 00:40:00,J5,1319,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
154,0 days 00:45:00,J5,1322,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
155,0 days 00:50:00,J5,1393,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
156,0 days 00:55:00,J5,1427,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
157,0 days 01:00:00,J5,1502,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
158,0 days 01:05:00,J5,1438,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
159,0 days 01:10:00,J5,1529,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
160,0 days 01:15:00,J5,1553,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
161,0 days 01:20:00,J5,1551,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
162,0 days 01:25:00,J5,1565,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
163,0 days 01:30:00,J5,1561,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
164,0 days 01:35:00,J5,1686,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
165,0 days 01:40:00,J5,1698,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
166,0 days 01:45:00,J5,1665,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
167,0 days 01:50:00,J5,1713,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
168,0 days 01:55:00,J5,1662,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
169,0 days 02:00:00,J5,1757,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
170,0 days 02:05:00,J5,1779,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
171,0 days 02:10:00,J5,1777,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
172,0 days 02:15:00,J5,1764,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
173,0 days 02:20:00,J5,1806,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
174,0 days 02:25:00,J5,1818,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
175,0 days 02:30:00,J5,1766,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
176,0 days 02:35:00,J5,1816,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
177,0 days 02:40:00,J5,1852,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
178,0 days 02:45:00,J5,1834,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
179,0 days 02:50:00,J5,1856,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
180,0 days 02:55:00,J5,1888,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
181,0 days 03:00:00,J5,1840,J,5,plamGFP-deGFP,Plate 1,2,T7-1-deGFP
