experiment_id,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
id,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
PMix_(AR-931)_QC_PURE_Timecourse_F6,3.187466234,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,38.75487620687475,3.256657020361327,0.9656980356005724,True,1
PMix_(AR-931)_QC_PURE_Timecourse_F8,3.187466234,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,41.71873972326777,3.072077121731663,1.028351331805777,True,1
PMix-MFG-128-PURE-Activity-QC_B2,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,88.12530297775513,3.675002995889886,0.9131589524730092,True,0
PMix-MFG-128-PURE-Activity-QC_B4,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,47.73265398059803,4.608317379104819,0.7496143528078958,True,0
PMix-MFG-128-PURE-Activity-QC_D2,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,103.7731838257158,3.447625920035028,0.9273666101497112,True,0
PMix-MFG-128-PURE-Activity-QC_D4,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,52.26120107870526,4.587369367733647,0.7439014230940477,True,0
PMix-MFG-128-PURE-Activity-QC_F2,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,99.66907192351516,3.2315516741931254,0.9581627343210586,True,0
PMix-MFG-128-PURE-Activity-QC_F4,3.206521739,0.0,2000.0,0.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,56.95568228096034,5.097274178811219,0.773890209391735,True,0
PPK_20250611_A11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,6.0,20.0,0.0,0.0,100.0,52.20256410289374,1.4240914684491592,2.4110992726056977,True,1
PPK_20250611_A14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,6.0,20.0,0.0,0.0,100.0,56.16002110743404,1.4506259116272806,2.340034794803218,True,1
PPK_20250611_A17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,6.0,20.0,0.0,0.0,100.0,90.34605717932168,1.8105196010666509,1.9045344534594328,True,1
PPK_20250611_C11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,7.0,20.0,0.0,0.0,100.0,84.58265159907135,2.646939841389796,1.415084860616503,True,1
PPK_20250611_C13,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,7.0,20.0,0.0,0.0,100.0,84.29146528257735,2.596487744768985,1.4328655081327455,True,1
PPK_20250611_C17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,7.0,20.0,0.0,0.0,100.0,86.13323858109885,2.6384190406211196,1.4101262630839146,True,1
PPK_20250611_E11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,91.64358040666524,2.757645721981224,1.3930273847623262,True,1
PPK_20250611_E14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,92.07012452780684,2.747880895464753,1.400134441236683,True,1
PPK_20250611_E17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,8.0,20.0,0.0,0.0,100.0,89.65677604610676,2.798222448473351,1.3958362707003906,True,1
PPK_20250611_G11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,9.0,20.0,0.0,0.0,100.0,74.28620294981513,2.890765860513844,1.3516734321013577,True,1
PPK_20250611_G14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,9.0,20.0,0.0,0.0,100.0,68.24597093046246,2.893785137944104,1.357274777964509,True,1
PPK_20250611_G17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,9.0,20.0,0.0,0.0,100.0,73.80194149437413,2.9382173614310525,1.341577893633144,True,1
PPK_20250611_I11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,20.0,0.0,0.0,100.0,64.10426740882421,2.977396435348388,1.350104340575493,True,1
PPK_20250611_I14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,20.0,0.0,0.0,100.0,55.95086304124055,3.06264506830362,1.3472138714930315,True,1
PPK_20250611_I17,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,10.0,20.0,0.0,0.0,100.0,59.16276569024475,2.877429918110484,1.3841460318343748,True,1
PPK_20250611_K11,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,11.0,20.0,0.0,0.0,100.0,49.782932064874,3.0845337152529457,1.32391998131038,True,1
PPK_20250611_K14,2.996187486,2.0,0.0,1.0,1.8,1.8,10.0,11.0,20.0,0.0,0.0,100.0,51.00817879177022,3.1296480361242023,1.3254863099452334,True,1
